customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Avg_Order_Value,Purchase_Frequency,Churn_Rate,Customer_Lifespan,CLV
70,80,2,2368,3,1,1,5,At Risk Customer,1184.0,0.00408997955010225,0.0125,80.0,189440.0
72,52,2,2368,3,1,1,5,At Risk Customer,1184.0,0.00408997955010225,0.019230769230769232,52.0,123136.0
73,76,2,15774,3,1,3,7,Potential Customer,7887.0,0.00408997955010225,0.013157894736842105,76.0,1198824.0
74,80,1,1184,3,1,1,5,At Risk Customer,1184.0,0.002044989775051125,0.0125,80.0,94720.0
75,52,6,105045,3,4,5,12,Loyal Customer,17507.5,0.012269938650306749,0.019230769230769232,52.0,5462340.0
76,22,5,5920,4,4,2,10,Loyal Customer,1184.0,0.010224948875255624,0.045454545454545456,22.0,130240.0
78,209,6,13807,1,4,3,8,Potential Customer,2301.1666666666665,0.012269938650306749,0.004784688995215311,209.0,2885663.0
80,51,2,9071,3,1,2,6,At Risk Customer,4535.5,0.00408997955010225,0.0196078431372549,51.0,462621.0
81,22,6,196283,4,4,5,13,VIP Customer,32713.833333333332,0.012269938650306749,0.045454545454545456,22.0,4318226.0
82,12,3,3552,5,2,1,8,Potential Customer,1184.0,0.006134969325153374,0.08333333333333333,12.0,42624.0
83,139,2,2368,2,1,1,4,At Risk Customer,1184.0,0.00408997955010225,0.007194244604316547,139.0,329152.0
84,75,3,10255,3,2,2,7,Potential Customer,3418.3333333333335,0.006134969325153374,0.013333333333333334,75.0,769125.0
85,145,2,9071,2,1,2,5,At Risk Customer,4535.5,0.00408997955010225,0.006896551724137931,145.0,1315295.0
86,73,5,5920,3,4,2,9,Potential Customer,1184.0,0.010224948875255624,0.0136986301369863,73.0,432160.0
87,127,2,9071,2,1,2,5,At Risk Customer,4535.5,0.00408997955010225,0.007874015748031496,127.0,1152017.0
88,17,2,9071,5,1,2,8,Potential Customer,4535.5,0.00408997955010225,0.058823529411764705,17.0,154207.0
89,22,5,5920,4,4,2,10,Loyal Customer,1184.0,0.010224948875255624,0.045454545454545456,22.0,130240.0
90,89,5,5920,2,4,2,8,Potential Customer,1184.0,0.010224948875255624,0.011235955056179775,89.0,526880.0
91,140,1,1184,2,1,1,4,At Risk Customer,1184.0,0.002044989775051125,0.007142857142857143,140.0,165760.0
92,21,6,20510,5,4,4,13,VIP Customer,3418.3333333333335,0.012269938650306749,0.047619047619047616,21.0,430710.0
93,217,2,9071,1,1,2,4,At Risk Customer,4535.5,0.00408997955010225,0.004608294930875576,217.0,1968407.0
94,75,3,10255,3,2,2,7,Potential Customer,3418.3333333333335,0.006134969325153374,0.013333333333333334,75.0,769125.0
95,1,7,28397,5,5,4,14,VIP Customer,4056.714285714286,0.014314928425357873,1.0,1.0,28397.0
96,30,6,27213,4,4,4,12,Loyal Customer,4535.5,0.012269938650306749,0.03333333333333333,30.0,816390.0
97,249,4,11439,1,3,3,7,Potential Customer,2859.75,0.0081799591002045,0.004016064257028112,249.00000000000003,2848311.0
98,14,6,105045,5,4,5,14,VIP Customer,17507.5,0.012269938650306749,0.07142857142857142,14.0,1470630.0
99,68,9,24062,3,5,4,12,Loyal Customer,2673.5555555555557,0.018404907975460124,0.014705882352941176,68.0,1636216.0
100,95,4,102677,2,3,5,10,Loyal Customer,25669.25,0.0081799591002045,0.010526315789473684,95.0,9754315.0
101,41,8,29581,4,5,4,13,VIP Customer,3697.625,0.016359918200409,0.024390243902439025,41.0,1212821.0
102,45,1,7887,4,1,2,7,Potential Customer,7887.0,0.002044989775051125,0.022222222222222223,45.0,354915.0
103,195,5,26029,1,4,4,9,Potential Customer,5205.8,0.010224948875255624,0.005128205128205128,195.0,5075655.0
104,16,8,100710,5,5,5,15,VIP Customer,12588.75,0.016359918200409,0.0625,16.0,1611360.0
105,124,2,2368,2,1,1,4,At Risk Customer,1184.0,0.00408997955010225,0.008064516129032258,124.0,293632.0
106,177,4,11439,1,3,3,7,Potential Customer,2859.75,0.0081799591002045,0.005649717514124294,177.0,2024703.0
107,65,2,2368,3,1,1,5,At Risk Customer,1184.0,0.00408997955010225,0.015384615384615385,65.0,153920.0
108,14,3,186028,5,2,5,12,Loyal Customer,62009.333333333336,0.006134969325153374,0.07142857142857142,14.0,2604392.0
109,102,3,101493,2,2,5,9,Potential Customer,33831.0,0.006134969325153374,0.00980392156862745,102.0,10352286.0
110,186,1,7887,1,1,2,4,At Risk Customer,7887.0,0.002044989775051125,0.005376344086021506,185.99999999999997,1466982.0
111,143,8,22878,2,5,4,11,Loyal Customer,2859.75,0.016359918200409,0.006993006993006993,143.0,3271554.0
112,104,5,12623,2,4,3,9,Potential Customer,2524.6,0.010224948875255624,0.009615384615384616,104.0,1312792.0
113,4,9,17359,5,5,4,14,VIP Customer,1928.7777777777778,0.018404907975460124,0.25,4.0,69436.0
114,202,3,108196,1,2,5,8,Potential Customer,36065.333333333336,0.006134969325153374,0.0049504950495049506,202.0,21855592.0
115,107,3,10255,2,2,2,6,At Risk Customer,3418.3333333333335,0.006134969325153374,0.009345794392523364,107.00000000000001,1097285.0
116,48,3,10255,4,2,2,8,Potential Customer,3418.3333333333335,0.006134969325153374,0.020833333333333332,48.0,492240.0
117,25,5,110564,4,4,5,13,VIP Customer,22112.8,0.010224948875255624,0.04,25.0,2764100.0
118,76,6,27213,3,4,4,11,Loyal Customer,4535.5,0.012269938650306749,0.013157894736842105,76.0,2068188.0
119,110,3,3552,2,2,1,5,At Risk Customer,1184.0,0.006134969325153374,0.00909090909090909,110.0,390720.0
120,38,4,11439,4,3,3,10,Loyal Customer,2859.75,0.0081799591002045,0.02631578947368421,38.0,434682.0
121,162,2,2368,1,1,1,3,Lost Customer,1184.0,0.00408997955010225,0.006172839506172839,162.0,383616.0
122,6,7,21694,5,5,4,14,VIP Customer,3099.1428571428573,0.014314928425357873,0.16666666666666666,6.0,130164.0
123,199,2,9071,1,1,2,4,At Risk Customer,4535.5,0.00408997955010225,0.005025125628140704,199.0,1805129.0
124,252,2,2368,1,1,1,3,Lost Customer,1184.0,0.00408997955010225,0.003968253968253968,252.0,596736.0
125,124,2,2368,2,1,1,4,At Risk Customer,1184.0,0.00408997955010225,0.008064516129032258,124.0,293632.0
126,35,6,105045,4,4,5,13,VIP Customer,17507.5,0.012269938650306749,0.02857142857142857,35.0,3676575.0
127,105,4,11439,2,3,3,8,Potential Customer,2859.75,0.0081799591002045,0.009523809523809525,104.99999999999999,1201095.0
128,23,7,21694,4,5,4,13,VIP Customer,3099.1428571428573,0.014314928425357873,0.043478260869565216,23.0,498962.0
129,146,4,116083,2,3,5,10,Loyal Customer,29020.75,0.0081799591002045,0.00684931506849315,146.0,16948118.0
130,85,5,103861,2,4,5,11,Loyal Customer,20772.2,0.010224948875255624,0.011764705882352941,85.0,8828185.0
131,22,6,13807,4,4,3,11,Loyal Customer,2301.1666666666665,0.012269938650306749,0.045454545454545456,22.0,303754.0
132,5,3,10255,5,2,2,9,Potential Customer,3418.3333333333335,0.006134969325153374,0.2,5.0,51275.0
133,17,6,20510,5,4,4,13,VIP Customer,3418.3333333333335,0.012269938650306749,0.058823529411764705,17.0,348670.0
134,91,6,98342,2,4,5,11,Loyal Customer,16390.333333333332,0.012269938650306749,0.01098901098901099,91.0,8949122.0
135,73,3,16958,3,2,4,9,Potential Customer,5652.666666666667,0.006134969325153374,0.0136986301369863,73.0,1237934.0
136,50,4,102677,4,3,5,12,Loyal Customer,25669.25,0.0081799591002045,0.02,50.0,5133850.0
137,19,5,5920,5,4,2,11,Loyal Customer,1184.0,0.010224948875255624,0.05263157894736842,19.0,112480.0
138,2,2,93606,5,1,5,11,Loyal Customer,46803.0,0.00408997955010225,0.5,2.0,187212.0
139,184,2,2368,1,1,1,3,Lost Customer,1184.0,0.00408997955010225,0.005434782608695652,184.0,435712.0
140,223,2,2368,1,1,1,3,Lost Customer,1184.0,0.00408997955010225,0.004484304932735426,223.0,528064.0
141,25,4,4736,4,3,2,9,Potential Customer,1184.0,0.0081799591002045,0.04,25.0,118400.0
142,73,2,2368,3,1,1,5,At Risk Customer,1184.0,0.00408997955010225,0.0136986301369863,73.0,172864.0
143,256,5,12623,1,4,3,8,Potential Customer,2524.6,0.010224948875255624,0.00390625,256.0,3231488.0
144,13,8,22878,5,5,4,14,VIP Customer,2859.75,0.016359918200409,0.07692307692307693,13.0,297414.0
145,63,6,7104,3,4,2,9,Potential Customer,1184.0,0.012269938650306749,0.015873015873015872,63.0,447552.0
146,145,4,18142,2,3,4,9,Potential Customer,4535.5,0.0081799591002045,0.006896551724137931,145.0,2630590.0
147,12,7,14991,5,5,3,13,VIP Customer,2141.5714285714284,0.014314928425357873,0.08333333333333333,12.0,179892.0
148,32,6,7104,4,4,2,10,Loyal Customer,1184.0,0.012269938650306749,0.03125,32.0,227328.0
149,65,4,95974,3,3,5,11,Loyal Customer,23993.5,0.0081799591002045,0.015384615384615385,65.0,6238310.0
150,138,4,24845,2,3,4,9,Potential Customer,6211.25,0.0081799591002045,0.007246376811594203,138.0,3428610.0
151,32,6,27213,4,4,4,12,Loyal Customer,4535.5,0.012269938650306749,0.03125,32.0,870816.0
152,53,8,16175,3,5,3,11,Loyal Customer,2021.875,0.016359918200409,0.018867924528301886,53.0,857275.0
153,160,4,4736,1,3,2,6,At Risk Customer,1184.0,0.0081799591002045,0.00625,160.0,757760.0
154,12,7,21694,5,5,4,14,VIP Customer,3099.1428571428573,0.014314928425357873,0.08333333333333333,12.0,260328.0
155,96,2,2368,2,1,1,4,At Risk Customer,1184.0,0.00408997955010225,0.010416666666666666,96.0,227328.0
156,320,2,2368,1,1,1,3,Lost Customer,1184.0,0.00408997955010225,0.003125,320.0,757760.0
157,152,5,19326,1,4,4,9,Potential Customer,3865.2,0.010224948875255624,0.006578947368421052,152.0,2937552.0
158,61,5,12623,3,4,3,10,Loyal Customer,2524.6,0.010224948875255624,0.01639344262295082,61.0,770003.0
159,99,1,7887,2,1,2,5,At Risk Customer,7887.0,0.002044989775051125,0.010101010101010102,98.99999999999999,780813.0
160,6,7,112932,5,5,5,15,VIP Customer,16133.142857142857,0.014314928425357873,0.16666666666666666,6.0,677592.0
161,10,7,14991,5,5,3,13,VIP Customer,2141.5714285714284,0.014314928425357873,0.1,10.0,149910.0
162,163,3,3552,1,2,1,4,At Risk Customer,1184.0,0.006134969325153374,0.006134969325153374,163.0,578976.0
163,40,4,11439,4,3,3,10,Loyal Customer,2859.75,0.0081799591002045,0.025,40.0,457560.0
164,73,4,11439,3,3,3,9,Potential Customer,2859.75,0.0081799591002045,0.0136986301369863,73.0,835047.0
165,42,6,20510,4,4,4,12,Loyal Customer,3418.3333333333335,0.012269938650306749,0.023809523809523808,42.0,861420.0
166,110,2,93606,2,1,5,8,Potential Customer,46803.0,0.00408997955010225,0.00909090909090909,110.0,10296660.0
167,71,2,9071,3,1,2,6,At Risk Customer,4535.5,0.00408997955010225,0.014084507042253521,71.0,644041.0
168,16,4,11439,5,3,3,11,Loyal Customer,2859.75,0.0081799591002045,0.0625,16.0,183024.0
169,311,1,1184,1,1,1,3,Lost Customer,1184.0,0.002044989775051125,0.003215434083601286,311.0,368224.0
170,7,6,40619,5,4,5,14,VIP Customer,6769.833333333333,0.012269938650306749,0.14285714285714285,7.0,284333.0
171,6,2,9071,5,1,2,8,Potential Customer,4535.5,0.00408997955010225,0.16666666666666666,6.0,54426.0
172,123,6,111748,2,4,5,11,Loyal Customer,18624.666666666668,0.012269938650306749,0.008130081300813009,122.99999999999999,13745004.0
173,5,8,114116,5,5,5,15,VIP Customer,14264.5,0.016359918200409,0.2,5.0,570580.0
174,79,2,2368,3,1,1,5,At Risk Customer,1184.0,0.00408997955010225,0.012658227848101266,79.0,187072.0
175,42,2,2368,4,1,1,6,At Risk Customer,1184.0,0.00408997955010225,0.023809523809523808,42.0,99456.0
176,7,3,101493,5,2,5,12,Loyal Customer,33831.0,0.006134969325153374,0.14285714285714285,7.0,710451.0
177,52,6,20510,3,4,4,11,Loyal Customer,3418.3333333333335,0.012269938650306749,0.019230769230769232,52.0,1066520.0
178,62,4,95974,3,3,5,11,Loyal Customer,23993.5,0.0081799591002045,0.016129032258064516,62.0,5950388.0
179,47,5,97158,4,4,5,13,VIP Customer,19431.6,0.010224948875255624,0.02127659574468085,47.0,4566426.0
180,23,6,27213,4,4,4,12,Loyal Customer,4535.5,0.012269938650306749,0.043478260869565216,23.0,625899.0
181,126,3,16958,2,2,4,8,Potential Customer,5652.666666666667,0.006134969325153374,0.007936507936507936,126.0,2136708.0
182,24,4,4736,4,3,2,9,Potential Customer,1184.0,0.0081799591002045,0.041666666666666664,24.0,113664.0
183,73,2,9071,3,1,2,6,At Risk Customer,4535.5,0.00408997955010225,0.0136986301369863,73.0,662183.0
184,50,4,18142,4,3,4,11,Loyal Customer,4535.5,0.0081799591002045,0.02,50.0,907100.0
185,290,1,1184,1,1,1,3,Lost Customer,1184.0,0.002044989775051125,0.0034482758620689655,290.0,343360.0
186,306,3,10255,1,2,2,5,At Risk Customer,3418.3333333333335,0.006134969325153374,0.0032679738562091504,306.0,3138030.0
187,143,6,105045,2,4,5,11,Loyal Customer,17507.5,0.012269938650306749,0.006993006993006993,143.0,15021435.0
188,34,4,4736,4,3,2,9,Potential Customer,1184.0,0.0081799591002045,0.029411764705882353,34.0,161024.0
189,212,3,94790,1,2,5,8,Potential Customer,31596.666666666668,0.006134969325153374,0.0047169811320754715,212.0,20095480.0
190,37,7,197467,4,5,5,14,VIP Customer,28209.571428571428,0.014314928425357873,0.02702702702702703,37.0,7306279.0
191,73,3,16958,3,2,4,9,Potential Customer,5652.666666666667,0.006134969325153374,0.0136986301369863,73.0,1237934.0
192,31,7,112932,4,5,5,14,VIP Customer,16133.142857142857,0.014314928425357873,0.03225806451612903,31.0,3500892.0
193,70,1,1184,3,1,1,5,At Risk Customer,1184.0,0.002044989775051125,0.014285714285714285,70.0,82880.0
194,139,4,187212,2,3,5,10,Loyal Customer,46803.0,0.0081799591002045,0.007194244604316547,139.0,26022468.0
195,133,4,18142,2,3,4,9,Potential Customer,4535.5,0.0081799591002045,0.007518796992481203,133.0,2412886.0
196,25,3,10255,4,2,2,8,Potential Customer,3418.3333333333335,0.006134969325153374,0.04,25.0,256375.0
197,7,3,94790,5,2,5,12,Loyal Customer,31596.666666666668,0.006134969325153374,0.14285714285714285,7.0,663530.0
198,138,7,106229,2,5,5,12,Loyal Customer,15175.57142857143,0.014314928425357873,0.007246376811594203,138.0,14659602.0
199,204,2,2368,1,1,1,3,Lost Customer,1184.0,0.00408997955010225,0.004901960784313725,204.0,483072.0
200,232,2,2368,1,1,1,3,Lost Customer,1184.0,0.00408997955010225,0.004310344827586207,232.0,549376.0
201,19,6,40619,5,4,5,14,VIP Customer,6769.833333333333,0.012269938650306749,0.05263157894736842,19.0,771761.0
202,77,6,13807,3,4,3,10,Loyal Customer,2301.1666666666665,0.012269938650306749,0.012987012987012988,77.0,1063139.0
203,1,3,3552,5,2,1,8,Potential Customer,1184.0,0.006134969325153374,1.0,1.0,3552.0
204,36,1,1184,4,1,1,6,At Risk Customer,1184.0,0.002044989775051125,0.027777777777777776,36.0,42624.0
205,78,2,100309,3,1,5,9,Potential Customer,50154.5,0.00408997955010225,0.01282051282051282,78.0,7824102.0
206,78,2,15774,3,1,3,7,Potential Customer,7887.0,0.00408997955010225,0.01282051282051282,78.0,1230372.0
207,237,3,16958,1,2,4,7,Potential Customer,5652.666666666667,0.006134969325153374,0.004219409282700422,237.00000000000003,4019046.0
208,7,3,94790,5,2,5,12,Loyal Customer,31596.666666666668,0.006134969325153374,0.14285714285714285,7.0,663530.0
209,174,2,93606,1,1,5,7,Potential Customer,46803.0,0.00408997955010225,0.005747126436781609,174.0,16287444.0
210,204,2,2368,1,1,1,3,Lost Customer,1184.0,0.00408997955010225,0.004901960784313725,204.0,483072.0
211,303,1,1184,1,1,1,3,Lost Customer,1184.0,0.002044989775051125,0.0033003300330033004,303.0,358752.0
212,10,3,10255,5,2,2,9,Potential Customer,3418.3333333333335,0.006134969325153374,0.1,10.0,102550.0
213,9,3,10255,5,2,2,9,Potential Customer,3418.3333333333335,0.006134969325153374,0.1111111111111111,9.0,92295.0
214,197,4,4736,1,3,2,6,At Risk Customer,1184.0,0.0081799591002045,0.005076142131979695,197.00000000000003,932992.0
215,56,10,25246,3,5,4,12,Loyal Customer,2524.6,0.02044989775051125,0.017857142857142856,56.0,1413776.0
216,64,4,4736,3,3,2,8,Potential Customer,1184.0,0.0081799591002045,0.015625,64.0,303104.0
217,45,7,28397,4,5,4,13,VIP Customer,4056.714285714286,0.014314928425357873,0.022222222222222223,45.0,1277865.0
218,257,6,13807,1,4,3,8,Potential Customer,2301.1666666666665,0.012269938650306749,0.0038910505836575876,257.0,3548399.0
219,81,1,7887,2,1,2,5,At Risk Customer,7887.0,0.002044989775051125,0.012345679012345678,81.0,638847.0
220,50,7,21694,4,5,4,13,VIP Customer,3099.1428571428573,0.014314928425357873,0.02,50.0,1084700.0
221,151,1,1184,2,1,1,4,At Risk Customer,1184.0,0.002044989775051125,0.006622516556291391,151.0,178784.0
222,71,5,26029,3,4,4,11,Loyal Customer,5205.8,0.010224948875255624,0.014084507042253521,71.0,1848059.0
223,19,7,99526,5,5,5,15,VIP Customer,14218.0,0.014314928425357873,0.05263157894736842,19.0,1890994.0
224,137,6,20510,2,4,4,10,Loyal Customer,3418.3333333333335,0.012269938650306749,0.0072992700729927005,137.0,2809870.0
225,36,5,188396,4,4,5,13,VIP Customer,37679.2,0.010224948875255624,0.027777777777777776,36.0,6782256.0
226,105,4,193915,2,3,5,10,Loyal Customer,48478.75,0.0081799591002045,0.009523809523809525,104.99999999999999,20361075.0
227,21,7,112932,5,5,5,15,VIP Customer,16133.142857142857,0.014314928425357873,0.047619047619047616,21.0,2371572.0
228,99,3,3552,2,2,1,5,At Risk Customer,1184.0,0.006134969325153374,0.010101010101010102,98.99999999999999,351648.0
229,10,8,114116,5,5,5,15,VIP Customer,14264.5,0.016359918200409,0.1,10.0,1141160.0
230,34,2,15774,4,1,3,8,Potential Customer,7887.0,0.00408997955010225,0.029411764705882353,34.0,536316.0
231,160,6,27213,1,4,4,9,Potential Customer,4535.5,0.012269938650306749,0.00625,160.0,4354080.0
232,72,1,1184,3,1,1,5,At Risk Customer,1184.0,0.002044989775051125,0.013888888888888888,72.0,85248.0
233,64,8,127522,3,5,5,13,VIP Customer,15940.25,0.016359918200409,0.015625,64.0,8161408.0
234,54,2,9071,3,1,2,6,At Risk Customer,4535.5,0.00408997955010225,0.018518518518518517,54.0,489834.0
235,34,3,3552,4,2,1,7,Potential Customer,1184.0,0.006134969325153374,0.029411764705882353,34.0,120768.0
236,181,4,4736,1,3,2,6,At Risk Customer,1184.0,0.0081799591002045,0.0055248618784530384,181.0,857216.0
237,35,6,27213,4,4,4,12,Loyal Customer,4535.5,0.012269938650306749,0.02857142857142857,35.0,952455.0
238,157,3,10255,1,2,2,5,At Risk Customer,3418.3333333333335,0.006134969325153374,0.006369426751592357,157.0,1610035.0
239,157,7,21694,1,5,4,10,Loyal Customer,3099.1428571428573,0.014314928425357873,0.006369426751592357,157.0,3405958.0
240,47,3,3552,4,2,1,7,Potential Customer,1184.0,0.006134969325153374,0.02127659574468085,47.0,166944.0
241,289,1,1184,1,1,1,3,Lost Customer,1184.0,0.002044989775051125,0.0034602076124567475,289.0,342176.0
242,33,4,11439,4,3,3,10,Loyal Customer,2859.75,0.0081799591002045,0.030303030303030304,33.0,377487.0
243,40,3,3552,4,2,1,7,Potential Customer,1184.0,0.006134969325153374,0.025,40.0,142080.0
244,218,3,3552,1,2,1,4,At Risk Customer,1184.0,0.006134969325153374,0.0045871559633027525,218.0,774336.0
246,66,4,4736,3,3,2,8,Potential Customer,1184.0,0.0081799591002045,0.015151515151515152,66.0,312576.0
